eventName,eventSource,awsService,description,mitreAttackTactics,mitreAttackTechniques,mitreAttackSubTechniques,usedInWild,incidents,researchLinks,securityImplications,alerting,simulation,permissions,unverifiedMitreAttackTechniques
LeaveOrganization,organizations.amazonaws.com,Organizations,Removes a member account from its parent organization.,TA0005 - Defense Evasion,T1070 - Indicator Removal,,False,"[{""description"": ""New tactics and techniques for proactive threat detection"", ""link"": ""https://reinforce.awsevents.com/content/dam/reinforce/2024/slides/TDR432_New-tactics-and-techniques-for-proactive-threat-detection.pdf""}]","[{""description"": ""An AWS account attempted to leave the AWS Organization"", ""link"": ""https://docs.datadoghq.com/security/default_rules/aws-organizations-leave-organization/""}]",Attackers might use LeaveOrganization to disassociate resources and disrupt the structure of AWS organizations.,[],"[{""type"": ""commandLine"", ""value"": ""aws organizations leave-organization""}, {""type"": ""stratusRedTeam"", ""value"": ""https://stratus-red-team.cloud/attack-techniques/AWS/aws.defense-evasion.organizations-leave""}]",https://aws.permissions.cloud/iam/organizations#organizations-LeaveOrganization,"[{""technique"": ""T1562 - Impair Defenses"", ""reason"": ""Leaving the organization can be used to evade security controls and monitoring that are applied at the organization level, reducing the chances of detection.""}]"
InviteAccountToOrganization,organizations.amazonaws.com,Organizations,Sends an invitation to another account to join your organization as a member account.,TA0005 - Defense Evasion,T1535 - Unused/Unsupported Cloud Regions,,True,"[{""description"": ""New tactics and techniques for proactive threat detection"", ""link"": ""https://reinforce.awsevents.com/content/dam/reinforce/2024/slides/TDR432_New-tactics-and-techniques-for-proactive-threat-detection.pdf""}]",[],"Attackers might use InviteAccountToOrganization to add an account they control for defense evasion, resource hijacking.",[],"[{""type"": ""commandLine"", ""value"": ""aws organizations invite-account-to-organization --target '{\""Type\"": \""EMAIL\"", \""Id\"": \""traildiscover@example.com\""}'""}]",https://aws.permissions.cloud/iam/organizations#organizations-InviteAccountToOrganization,"[{""technique"": ""T1098 - Account Manipulation"", ""reason"": ""Adding accounts to the organization can be used to manipulate account permissions and roles for persistence or escalation of privileges.""}, {""technique"": ""T1562 - Impair Defenses"", ""reason"": ""By adding new accounts, an attacker might impair the existing security defenses, such as monitoring and logging configurations, by creating noise or adding trusted accounts.""}, {""technique"": ""T1199 - Trusted Relationship"", ""reason"": ""Inviting an account creates a trusted relationship that can be exploited for initial access or lateral movement within the organization.""}]"
ListOrganizationalUnitsForParent,organizations.amazonaws.com,Organizations,Lists the organizational units (OUs) in a parent organizational unit or root.,TA0007 - Discovery,T1526 - Cloud Service Discovery,,True,"[{""description"": ""When a Zero Day and Access Keys Collide in the Cloud: Responding to the SugarCRM Zero-Day Vulnerability"", ""link"": ""https://unit42.paloaltonetworks.com/sugarcrm-cloud-incident-black-hat/""}]",[],Attackers might use ListOrganizationalUnitsForParent to map the structure of an organization's AWS environment for potential vulnerabilities.,[],"[{""type"": ""commandLine"", ""value"": ""aws organizations list-organizational-units-for-parent --parent-id r-traildiscover""}]",https://aws.permissions.cloud/iam/organizations#organizations-ListOrganizationalUnitsForParent,"[{""technique"": ""T1482 - Domain Trust Discovery"", ""reason"": ""By listing the organizational units, an adversary can identify relationships and trust boundaries between different parts of the organization, gaining insight into the hierarchical structure that may be exploited later.""}, {""technique"": ""T1018 - Remote System Discovery"", ""reason"": ""Knowledge of the organizational units can inform an adversary about different parts of the cloud infrastructure, helping to discover systems or accounts that can be targeted for further actions.""}, {""technique"": ""T1069 - Permission Groups Discovery"", ""reason"": ""The API can reveal different organizational units that might correspond to permission groupings or roles within the AWS environment, which is crucial for understanding how access is managed across the organization.""}, {""technique"": ""T1590 - Gather Victim Network Information"", ""reason"": ""By understanding the organizational units, an adversary can piece together information about the internal network structure, which can be critical for furthering internal reconnaissance efforts.""}]"
ListAccounts,organizations.amazonaws.com,Organizations,Lists all the accounts in the organization.,TA0007 - Discovery,T1526 - Cloud Service Discovery,,True,"[{""description"": ""When a Zero Day and Access Keys Collide in the Cloud: Responding to the SugarCRM Zero-Day Vulnerability"", ""link"": ""https://unit42.paloaltonetworks.com/sugarcrm-cloud-incident-black-hat/""}]",[],Attackers might use ListAccounts to gather information about the structure and resources of an organization's AWS environment.,[],"[{""type"": ""commandLine"", ""value"": ""aws organizations list-accounts""}]",https://aws.permissions.cloud/iam/organizations#organizations-ListAccounts,"[{""technique"": ""T1087 - Account Discovery"", ""reason"": ""Using the ListAccounts API call, an attacker can enumerate all accounts within the AWS organization, gaining insight into the structure and scope of the organization's AWS environment.""}]"
DescribeOrganization,organizations.amazonaws.com,Organizations,Retrieves information about the organization that the user's account belongs to.,TA0007 - Discovery,T1526 - Cloud Service Discovery,,True,"[{""description"": ""When a Zero Day and Access Keys Collide in the Cloud: Responding to the SugarCRM Zero-Day Vulnerability"", ""link"": ""https://unit42.paloaltonetworks.com/sugarcrm-cloud-incident-black-hat/""}]",[],Attackers might use DescribeOrganization to gather information about the structure and details of an AWS organization.,[],"[{""type"": ""commandLine"", ""value"": ""aws organizations describe-organization""}]",https://aws.permissions.cloud/iam/organizations#organizations-DescribeOrganization,"[{""technique"": ""T1087 - Account Discovery"", ""reason"": ""DescribeOrganization can be used to discover details about accounts within the organization, including account IDs and email addresses.""}, {""technique"": ""T1078 - Valid Accounts"", ""reason"": ""Information gathered can assist in identifying valid accounts within the organization, aiding further actions that require valid credentials.""}]"
CreateAccount,organizations.amazonaws.com,Organizations,Creates an AWS account that is automatically a member of the organization whose credentials made the request.,TA0005 - Defense Evasion,T1535 - Unused/Unsupported Cloud Regions,,True,"[{""description"": ""New tactics and techniques for proactive threat detection"", ""link"": ""https://reinforce.awsevents.com/content/dam/reinforce/2024/slides/TDR432_New-tactics-and-techniques-for-proactive-threat-detection.pdf""}]",[],"Attackers might use CreateAccount to add a new account for defense evasion, resource hijacking.",[],"[{""type"": ""commandLine"", ""value"": ""aws organizations create-account --email traildiscover@example.com --account-name \""TrailDiscover Account\""""}]",https://aws.permissions.cloud/iam/organizations#organizations-CreateAccount,"[{""technique"": ""T1078 - Valid Accounts"", ""reason"": ""By creating a new AWS account within the organization, attackers can obtain valid cloud credentials for future access and operations.""}, {""technique"": ""T1098 - Account Manipulation"", ""reason"": ""Creating a new account can be used to manipulate and manage user accounts, potentially hiding malicious activities under a legitimate-looking account.""}, {""technique"": ""T1136 - Create Account"", ""reason"": ""Creating a new account can establish persistence, allowing an attacker to maintain access even if the initially compromised account is detected and removed.""}, {""technique"": ""T1562 - Impair Defenses"", ""reason"": ""Attackers can use the new account to disable or modify security tools and configurations within the cloud environment to avoid detection.""}]"
GetParameters,ssm.amazonaws.com,SSM,Get information about one or more parameters by specifying multiple parameter names.,"TA0007 - Discovery, TA0006 - Credential Access","T1526 - Cloud Service Discovery, T1552 - Unsecured Credentials",,False,[],"[{""description"": ""Detecting and removing risky actions out of your IAM security policies"", ""link"": ""https://www.solvo.cloud/blog/detecting-and-removing-risky-actions-out-of-your-iam-security-policies/""}]",Attackers might use GetParameters to gather sensitive information such as api keys or other secrets.,[],"[{""type"": ""commandLine"", ""value"": ""aws ssm get-parameters --names TrailDiscoverParameters""}, {""type"": ""stratusRedTeam"", ""value"": ""https://stratus-red-team.cloud/attack-techniques/AWS/aws.credential-access.ssm-retrieve-securestring-parameters""}]",https://aws.permissions.cloud/iam/ssm#ssm-GetParameters,"[{""technique"": ""T1552 - Unsecured Credentials"", ""reason"": ""The GetParameters API, particularly with decryption enabled, can be used to retrieve sensitive credentials if they are stored in the SSM Parameter Store. This can expose API keys, passwords, or other authentication materials.""}, {""technique"": ""T1082 - System Information Discovery"", ""reason"": ""By using GetParameters, an attacker can gather configuration and environment details stored in the parameters, aiding in system information discovery.""}, {""technique"": ""T1078 - Valid Accounts"", ""reason"": ""If parameter values include credentials or tokens, the attacker could use them to access valid accounts, facilitating further malicious activity.""}]"
StartSession,ssm.amazonaws.com,SSM,"Initiates a connection to a target (for example, a managed node) for a Session Manager session.","TA0008 - Lateral Movement, TA0002 - Execution","T1021 - Remote Services, T1651 - Cloud Administration Command",,True,"[{""description"": ""Navigating the Cloud: Exploring Lateral Movement Techniques"", ""link"": ""https://unit42.paloaltonetworks.com/cloud-lateral-movement-techniques/""}]","[{""description"": ""Hunting for signs of persistence in the cloud: an IR guide following the CircleCI incident"", ""link"": ""https://www.wiz.io/blog/hunting-for-signs-of-persistence-in-the-cloud-an-ir-guide""}, {""description"": ""Run Shell Commands on EC2 with Send Command or Session Manager"", ""link"": ""https://hackingthe.cloud/aws/post_exploitation/run_shell_commands_on_ec2/""}, {""description"": ""Attack Paths Into VMs in the Cloud"", ""link"": ""https://unit42.paloaltonetworks.com/cloud-virtual-machine-attack-vectors/""}]",Attackers might use StartSession to gain unauthorized access to managed instances.,[],"[{""type"": ""commandLine"", ""value"": ""aws ssm start-session --target TrailDiscoverTarget""}, {""type"": ""stratusRedTeam"", ""value"": ""https://stratus-red-team.cloud/attack-techniques/AWS/aws.execution.ssm-start-session""}]",https://aws.permissions.cloud/iam/ssm#ssm-StartSession,"[{""technique"": ""T1059 - Command and Scripting Interpreter"", ""reason"": ""The StartSession API allows for establishing a session where commands can be executed on the managed node through a command-line interface. This enables direct interaction with the system, facilitating the execution of scripts or commands remotely.""}, {""technique"": ""T1078 - Valid Accounts"", ""reason"": ""The StartSession API requires valid credentials and an authenticated token to initiate a session, allowing access to managed nodes. Attackers with compromised credentials can exploit this to gain unauthorized access to systems.""}, {""technique"": ""T1071 - Application Layer Protocol"", ""reason"": ""The StartSession API uses WebSocket connections over HTTPS, enabling communication with the managed node. This can be leveraged to disguise command and control traffic within regular web traffic, making detection more challenging.""}]"
DescribeInstanceInformation,ssm.amazonaws.com,SSM,"Provides information about one or more of your managed nodes, including the operating system platform, SSM Agent version, association status, and IP address.",TA0007 - Discovery,T1580 - Cloud Infrastructure Discovery,,True,"[{""description"": ""The curious case of DangerDev@protonmail.me"", ""link"": ""https://www.invictus-ir.com/news/the-curious-case-of-dangerdev-protonmail-me""}]",[],"Attackers might use DescribeInstanceInformation to gather sensitive information about the instances, potentially leading to unauthorized access.",[],"[{""type"": ""commandLine"", ""value"": ""aws ssm describe-instance-information --instance-information-filter-list key=InstanceIds,valueSet=TrailDiscoverInstanceIds""}]",https://aws.permissions.cloud/iam/ssm#ssm-DescribeInstanceInformation,"[{""technique"": ""T1082 - System Information Discovery"", ""reason"": ""The API retrieves comprehensive details about the managed nodes, including platform name, version, and agent status, which helps in understanding the target system.""}, {""technique"": ""T1078 - Valid Accounts"", ""reason"": ""The IAM role associated with each managed node can be analyzed to identify and potentially exploit valid credentials, leading to unauthorized access.""}, {""technique"": ""T1018 - Remote System Discovery"", ""reason"": ""IP addresses and system information can be used to discover and map out other systems within the network environment.""}]"
SendCommand,ssm.amazonaws.com,SSM,Runs commands on one or more managed nodes.,"TA0008 - Lateral Movement, TA0002 - Execution","T1021 - Remote Services, T1651 - Cloud Administration Command",,True,"[{""description"": ""Navigating the Cloud: Exploring Lateral Movement Techniques"", ""link"": ""https://unit42.paloaltonetworks.com/cloud-lateral-movement-techniques/""}, {""description"": ""Cloud-Conscious Tactics, Techniques,and Procedures (TTPs)"", ""link"": ""https://fwdcloudsec.org/assets/presentations/2024/europe/sebastian-walla-cloud-conscious-tactics-techniques-and-procedures-an-overview.pdf""}]","[{""description"": ""Hunting for signs of persistence in the cloud: an IR guide following the CircleCI incident"", ""link"": ""https://www.wiz.io/blog/hunting-for-signs-of-persistence-in-the-cloud-an-ir-guide""}, {""description"": ""Run Shell Commands on EC2 with Send Command or Session Manager"", ""link"": ""https://hackingthe.cloud/aws/post_exploitation/run_shell_commands_on_ec2/""}, {""description"": ""Attack Paths Into VMs in the Cloud"", ""link"": ""https://unit42.paloaltonetworks.com/cloud-virtual-machine-attack-vectors/""}]",Attackers might use SendCommand to execute malicious commands on managed instances.,[],"[{""type"": ""commandLine"", ""value"": ""aws ssm send-command --instance-ids \""TrailDiscoverInstanceID\"" --document-name \""AWS-RunShellScript\"" --parameters commands=ls --output text""}, {""type"": ""stratusRedTeam"", ""value"": ""https://stratus-red-team.cloud/attack-techniques/AWS/aws.execution.ssm-send-command""}]",https://aws.permissions.cloud/iam/ssm#ssm-SendCommand,"[{""technique"": ""T1059 - Command and Scripting Interpreter"", ""reason"": ""The SendCommand API is designed to execute commands on managed nodes, which directly involves the use of command and scripting interpreters to run scripts or commands.""}, {""technique"": ""T1053 - Scheduled Task/Job"", ""reason"": ""The SendCommand API can be used to create or modify scheduled tasks on managed nodes, enabling the execution of commands at specified times, which is essential for maintaining persistence.""}, {""technique"": ""T1105 - Ingress Tool Transfer"", ""reason"": ""Attackers can use SendCommand to download and execute additional tools or payloads on the managed nodes, which is directly relevant to executing commands that facilitate further compromise.""}, {""technique"": ""T1569 - System Services"", ""reason"": ""The SendCommand API can start, stop, or restart system services on managed nodes, allowing for the execution of commands that may serve various purposes, including persistence or privilege escalation.""}]"
